title,genres_clean,main_cast,director,vote_average,popularity,overview,clean_title,clean_overview,clean_cast,clean_director
Space Dogs,Family Animation,Anna Bolshova Evgeny Mironov Sergey Garmash Aleksandr Bashirov Elena Yakovleva,Inna Evlannikova Svyatoslav Ushakov,6.3,5.753564,"Belka, the amazing flying dog is unexpectedly hurdled into the streets of Moscow when the rocket she is in malfunctions during one of her circus routines. Fortunately the crash leads her to meet a streetwise dog named Strelka and her irredeemable rat friend Venya. Together with other amusing friends found along the way, the three find themselves in a space program-training center where they get sent away in a rocket, leaving planet Earth...",space dogs,belka amazing flying dog unexpectedly hurdled street moscow rocket malfunction one circus routine fortunately crash lead meet streetwise dog named strelka irredeemable rat friend venya together amusing friend found along way three find space program training center get sent away rocket leaving planet earth,anna bolshova evgeny mironov sergey garmash aleksandr bashirov elena yakovleva,inna evlannikova svyatoslav ushakov
The Counselor,Thriller Crime Drama,Michael Fassbender Cameron Diaz Javier Bardem Goran Visnjic Penélope Cruz,Ridley Scott,5.0,35.022029,A rich and successful lawyer named Counselor is about to get married to his fiancï¿½ï¿½e but soon meets up with the middle-man known as Westray who tells him his drug trafficking plan has taken a horrible twist and now he must protect himself and his soon bride-to-be lover as the truth of the drug business uncovers and targets become cho,the counselor,rich successful lawyer named counselor get married fianc e soon meet middle man known westray tell drug trafficking plan taken horrible twist must protect soon bride lover truth drug business uncovers target become cho,michael fassbender cameron diaz javier bardem goran visnjic pen lope cruz,ridley scott
Ironclad,Romance Adventure Action History,James Purefoy Kate Mara Jason Flemyng Paul Giamatti Brian Cox,Jonathan English,6.2,12.31708,"In the year 1215, the rebel barons of England have forced their despised King John to put his royal seal on the Magna Carta, a seminal document that upheld the rights of free men. Yet within months of pledging himself to the great charter, the King reneged on his word and assembled a mercenary army on the south coast of England with the intention of bringing the barons and the country back under his tyrannical rule. Barring his way stood the mighty Rochester castle, a place that would become the symbol of the rebel's momentous struggle for justice and freedom.",ironclad,year 1215 rebel baron england forced despised king john put royal seal magna carta seminal document upheld right free men yet within month pledging great charter king reneged word assembled mercenary army south coast england intention bringing baron country back tyrannical rule barring way stood mighty rochester castle place would become symbol rebel momentous struggle justice freedom,james purefoy kate mara jason flemyng paul giamatti brian cox,jonathan english
Waterloo,History Action Drama,Rod Steiger Christopher Plummer Orson Welles Jack Hawkins Virginia McKenna,Sergey Bondarchuk,7.0,1.894749,"After defeating France and imprisoning Napoleon on Elba, ending two decades of war, Europe is shocked to find Napoleon has escaped and has caused the French Army to defect from the King back to him. The best of the British generals, the Duke of Wellington, beat Napolean's best generals in Spain and Portugal, but now must beat Napoleon himself with an Anglo Allied army.",waterloo,defeating france imprisoning napoleon elba ending two decade war europe shocked find napoleon escaped caused french army defect king back best british general duke wellington beat napolean best general spain portugal must beat napoleon anglo allied army,rod steiger christopher plummer orson welles jack hawkins virginia mckenna,sergey bondarchuk
Kung Fu Jungle,Crime Action Thriller,Donnie Yen Charlie Yeung Wang Baoqiang Bai Bing Deep Ng,Teddy Chan,6.5,6.895866,"A martial arts instructor working at a police academy gets imprisoned after killing a man by accident. But when a vicious killer starts targeting martial arts masters, the instructor offers to help the police in return for his freedom.",kung fu jungle,martial art instructor working police academy get imprisoned killing man accident vicious killer start targeting martial art master instructor offer help police return freedom,donnie yen charlie yeung wang baoqiang bai bing deep ng,teddy chan
Red Sky,Action Thriller,Cam Gigandet Rachael Leigh Cook Shane West Bill Pullman Brian Krause,Mario Van Peebles,4.1,3.344158,"Disgraced Top Gun fighter pilot Butch Masters leads a rogue squad in recovery of a WMD. Masters must navigate a fractured friendship, a love triangle, and must take to the skies to reclaim his military and personal honor.",red sky,disgraced top gun fighter pilot butch master lead rogue squad recovery wmd master must navigate fractured friendship love triangle must take sky reclaim military personal honor,cam gigandet rachael leigh cook shane west bill pullman brian krause,mario van peebles
Dangerous Liaisons,Drama Romance,Glenn Close John Malkovich Michelle Pfeiffer Swoosie Kurtz Keanu Reeves,Stephen Frears,7.0,14.480628,Dangerous Liaisons is the film based on the novel of the same name by Choderlos de Laclos set in 18th century France. Marquise de Merteuilï¿½ï¿½ï¿½s asks her ex-lover Vicomte de Valmont to seduce the future wife of another ex-lover of hers in return for one last night with her. Yet things donï¿½ï¿½ï¿½t go as planned in this love tri,dangerous liaisons,dangerous liaison film based novel name choderlos de laclos set 18th century france marquise de merteuil asks ex lover vicomte de valmont seduce future wife another ex lover return one last night yet thing go planned love tri,glenn close john malkovich michelle pfeiffer swoosie kurtz keanu reeves,stephen frears
On the Road,Adventure Drama,Garrett Hedlund Sam Riley Kristen Stewart Amy Adams Tom Sturridge,Walter Salles,5.5,14.613152,"Dean and Sal are the portrait of the Beat Generation. Their search for ""It"" results in a fast paced, energetic roller coaster ride with highs and lows throughout the U.S.",on the road,dean sal portrait beat generation search result fast paced energetic roller coaster ride high low throughout u,garrett hedlund sam riley kristen stewart amy adams tom sturridge,walter salles
Star Trek IV: The Voyage Home,Science Fiction Adventure,William Shatner Leonard Nimoy DeForest Kelley James Doohan George Takei,Leonard Nimoy,6.9,22.258428,"Fugitives of the Federation for their daring rescue of Spock from the doomed Genesis Planet, Admiral Kirk (William Shatner) and his crew begin their journey home to face justice for their actions. But as they near Earth, they find it at the mercy of a mysterious alien presence whose signals are slowly destroying the planet. In a desperate attempt to answer the call of the probe, Kirk and his crew race back to the late twentieth century. However they soon find the world they once knew to be more alien than anything they've encountered in the far reaches of the galaxy!",star trek iv  the voyage home,fugitive federation daring rescue spock doomed genesis planet admiral kirk william shatner crew begin journey home face justice action near earth find mercy mysterious alien presence whose signal slowly destroying planet desperate attempt answer call probe kirk crew race back late twentieth century however soon find world knew alien anything encountered far reach galaxy,william shatner leonard nimoy deforest kelley james doohan george takei,leonard nimoy
Rocky Balboa,Drama,Sylvester Stallone Burt Young Milo Ventimiglia Geraldine Hughes James Francis Kelly III,Sylvester Stallone,6.5,30.445257,"When he loses a highly publicized virtual boxing match to ex-champ Rocky Balboa, reigning heavyweight titleholder, Mason Dixon retaliates by challenging Rocky to a nationally televised, 10-round exhibition bout. To the surprise of his son and friends, Rocky agrees to come out of retirement and face an opponent who's faster, stronger and thirty years his junior.",rocky balboa,loses highly publicized virtual boxing match ex champ rocky balboa reigning heavyweight titleholder mason dixon retaliates challenging rocky nationally televised 10 round exhibition bout surprise son friend rocky agrees come retirement face opponent faster stronger thirty year junior,sylvester stallone burt young milo ventimiglia geraldine hughes james francis kelly iii,sylvester stallone
Scream 2,Horror Mystery,David Arquette Neve Campbell Courteney Cox Sarah Michelle Gellar Jamie Kennedy,Wes Craven,6.1,35.244037,"Two years after the terrifying events that occurred in Woodsboro, Sidney is now attending Windsor College in Cincinnati, and Gale Weathers' best selling book on Sidney's life has now been made into a major motion picture. When two college students are killed in a theatre while watching the new film 'Stab', Sidney knows deep down that history is repeating itself.",scream 2,two year terrifying event occurred woodsboro sidney attending windsor college cincinnati gale weather best selling book sidney life made major motion picture two college student killed theatre watching new film stab sidney know deep history repeating,david arquette neve campbell courteney cox sarah michelle gellar jamie kennedy,wes craven
